;Entity;Meat, Total | tonnes;Duck | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Chicken | tonnes
10288;Sri Lanka;217040.0;17.0;0.0;1088.0;25298.0;1308.0;187310.0
10296;Sudan;850364.0;0.0;0.0;385000.0;388345.0;0.0;75000.0
10404;Suriname;17403.0;800.0;0.0;20.0;1656.0;2235.0;10673.0
10463;Sweden;548389.0;0.0;0.0;5550.0;141150.0;241490.0;158180.0
10522;Switzerland;474263.0;0.0;0.0;6192.0;144899.0;220818.0;100335.0
10532;Syria;305590.0;25.0;52.0;127154.0;52488.0;0.0;123852.0
10591;Taiwan;1561530.0;87488.0;12091.0;1876.0;7206.0;819735.0;631115.0
10619;Tajikistan;366843.0;0.0;0.0;86428.0;272521.0;1193.0;4682.0
10678;Tanzania;674625.0;1330.0;0.0;70229.0;506798.0;14917.0;79332.0
10737;Thailand;2866695.0;63532.0;652.0;1994.0;162905.0;895380.0;1740213.0
10796;Timor;18794.0;0.0;0.0;492.0;2219.0;12931.0;1133.0
10855;Togo;81636.0;0.0;0.0;12623.0;5746.0;19540.0;41708.0
10914;Trinidad and Tobago;66922.0;0.0;0.0;118.0;1073.0;1928.0;61784.0
10973;Tunisia;338582.0;0.0;0.0;64500.0;44700.0;127.0;227236.0
11032;Turkey;3405379.0;611.0;3188.0;125918.0;1075552.0;0.0;2198091.0
11060;Turkmenistan;305216.0;0.0;0.0;136551.0;146226.0;249.0;20171.0
11150;Uganda;411904.0;0.0;0.0;45493.0;166515.0;129389.0;68488.0
11178;Ukraine;2483520.0;28946.0;9570.0;13900.0;369500.0;708300.0;1351285.0
11237;United Arab Emirates;128565.0;0.0;0.0;63427.0;18189.0;0.0;44930.0
11296;United Kingdom;4067599.0;27900.0;2680.0;307000.0;914000.0;957000.0;1857000.0
11355;United States;47851215.0;64107.0;0.0;79446.0;12348749.0;12542865.0;22814029.0
11414;Upper-middle-income countries;153410515.0;3536584.0;2665046.0;6436888.0;29813594.0;57039763.0;53916621.0
11473;Uruguay;641033.0;243.0;144.0;17658.0;580320.0;10000.0;30649.0
11501;Uzbekistan;1181617.0;0.0;0.0;165806.0;944724.0;4755.0;64313.0
11560;Vanuatu;8110.0;0.0;0.0;33.0;1949.0;3399.0;710.0
11619;Venezuela;926287.0;0.0;0.0;10147.0;361453.0;124514.0;428154.0
11678;Vietnam;4946155.0;154175.0;0.0;20993.0;449767.0;3328822.0;990379.0
11914;World;329613783.0;5013398.0;2774481.0;15550194.0;72039812.0;109635731.0;124598148.0
11973;Yemen;399182.0;0.0;0.0;131214.0;75602.0;0.0;190347.0
12063;Zambia;283509.0;0.0;0.0;11781.0;191038.0;27962.0;50709.0
12122;Zimbabwe;158670.0;52.0;0.0;25180.0;53560.0;10651.0;67208.0
